millis,stamp,datetime,humidity,temp
299999,1668021296,"2022/11/9 19:14:56",40.00,21.50
599999,1668021596,"2022/11/9 19:19:56",35.00,21.40
899998,1668021896,"2022/11/9 19:24:56",35.90,21.40
1199998,1668022196,"2022/11/9 19:29:56",35.40,21.40
1499999,1668022495,"2022/11/9 19:34:55",34.70,21.50
1799999,1668022795,"2022/11/9 19:39:55",34.70,21.50
2099999,1668023095,"2022/11/9 19:44:55",35.00,21.40
2399998,1668023395,"2022/11/9 19:49:55",35.00,21.40
2699999,1668023695,"2022/11/9 19:54:55",34.60,21.40
2999999,1668023995,"2022/11/9 19:59:55",34.50,21.50
3299998,1668024294,"2022/11/9 20:4:54",34.40,21.50
3599998,1668024594,"2022/11/9 20:9:54",34.10,21.40
3899999,1668024894,"2022/11/9 20:14:54",34.10,21.40
4199999,1668025194,"2022/11/9 20:19:54",34.10,21.30
4499999,1668025493,"2022/11/9 20:24:53",33.80,21.30
4799998,1668025793,"2022/11/9 20:29:53",33.70,21.30
5099999,1668026093,"2022/11/9 20:34:53",33.60,21.20
5400000,1668026393,"2022/11/9 20:39:53",34.10,21.10
5699999,1668026693,"2022/11/9 20:44:53",34.00,21.10
5999998,1668026992,"2022/11/9 20:49:52",33.80,21.10
6299999,1668027292,"2022/11/9 20:54:52",33.60,21.00
6599999,1668027592,"2022/11/9 20:59:52",33.50,21.00
6899998,1668027892,"2022/11/9 21:4:52",33.40,21.00
7200000,1668028192,"2022/11/9 21:9:52",33.30,21.00
7500000,1668028491,"2022/11/9 21:14:51",33.40,20.90
7800000,1668028791,"2022/11/9 21:19:51",33.20,21.00
8099999,1668029091,"2022/11/9 21:24:51",33.30,21.00
8399998,1668029391,"2022/11/9 21:29:51",33.00,20.80
8699999,1668029691,"2022/11/9 21:34:51",32.80,21.10
9000000,1668029990,"2022/11/9 21:39:50",32.80,21.10
9299999,1668030290,"2022/11/9 21:44:50",32.80,21.10
9600000,1668030590,"2022/11/9 21:49:50",32.70,21.20
9899999,1668030890,"2022/11/9 21:54:50",32.70,21.20
10199999,1668031190,"2022/11/9 21:59:50",32.50,21.30
10499998,1668031490,"2022/11/9 22:4:50",32.20,21.40
10799998,1668031789,"2022/11/9 22:9:49",32.20,21.40
11099999,1668032089,"2022/11/9 22:14:49",32.20,21.40
11400000,1668032389,"2022/11/9 22:19:49",32.30,21.30
11699999,1668032689,"2022/11/9 22:24:49",32.40,21.30
12000000,1668032989,"2022/11/9 22:29:49",32.20,21.40
12299999,1668033288,"2022/11/9 22:34:48",32.00,21.40
12599999,1668033588,"2022/11/9 22:39:48",32.10,21.30
12899999,1668033888,"2022/11/9 22:44:48",32.00,21.40
13199998,1668034188,"2022/11/9 22:49:48",31.90,21.40
13499999,1668034488,"2022/11/9 22:54:48",32.20,21.20
13799999,1668034787,"2022/11/9 22:59:47",32.00,21.20
14099999,1668035087,"2022/11/9 23:4:47",32.00,21.30
14400000,1668035387,"2022/11/9 23:9:47",32.00,21.30
14700000,1668035687,"2022/11/9 23:14:47",32.00,21.30
14999999,1668035987,"2022/11/9 23:19:47",32.20,21.30
15299999,1668036286,"2022/11/9 23:24:46",32.00,21.20
15599998,1668036586,"2022/11/9 23:29:46",32.20,21.10
15900000,1668036886,"2022/11/9 23:34:46",33.00,21.30
16199998,1668037186,"2022/11/9 23:39:46",32.90,21.20
16499999,1668037486,"2022/11/9 23:44:46",32.80,21.10
16800000,1668037785,"2022/11/9 23:49:45",32.70,21.10
17100000,1668038085,"2022/11/9 23:54:45",32.10,21.20
17399999,1668038385,"2022/11/9 23:59:45",31.90,21.10
17699999,1668038685,"2022/11/10 0:4:45",31.90,21.00
17999998,1668038985,"2022/11/10 0:9:45",32.20,20.80
18299999,1668039284,"2022/11/10 0:14:44",32.20,20.80
18600000,1668039584,"2022/11/10 0:19:44",32.40,20.70
18899999,1668039884,"2022/11/10 0:24:44",32.30,20.80
19200000,1668040184,"2022/11/10 0:29:44",32.30,20.80
19499999,1668040484,"2022/11/10 0:34:44",32.50,20.70
19799999,1668040783,"2022/11/10 0:39:43",32.50,20.70
20099998,1668041083,"2022/11/10 0:44:43",32.50,20.60
20400000,1668041383,"2022/11/10 0:49:43",32.50,20.60
20699999,1668041683,"2022/11/10 0:54:43",32.60,20.60
20999999,1668041983,"2022/11/10 0:59:43",32.40,20.60
21299998,1668042282,"2022/11/10 1:4:42",33.50,20.50
21599998,1668042582,"2022/11/10 1:9:42",34.00,20.60
21899999,1668042882,"2022/11/10 1:14:42",34.10,20.70
22199999,1668043182,"2022/11/10 1:19:42",34.10,20.70
22499998,1668043482,"2022/11/10 1:24:42",33.80,20.80
22800000,1668043781,"2022/11/10 1:29:41",33.90,20.90
23100000,1668044081,"2022/11/10 1:34:41",33.90,20.80
23399999,1668044381,"2022/11/10 1:39:41",33.80,21.00
23699999,1668044681,"2022/11/10 1:44:41",33.70,20.90
23999998,1668044981,"2022/11/10 1:49:41",33.70,20.90
24300000,1668045280,"2022/11/10 1:54:40",33.60,20.90
24599999,1668045580,"2022/11/10 1:59:40",33.70,20.90
24900000,1668045880,"2022/11/10 2:4:40",33.60,21.00
25200000,1668046180,"2022/11/10 2:9:40",33.50,21.10
25500000,1668046480,"2022/11/10 2:14:40",33.50,20.90
25799999,1668046779,"2022/11/10 2:19:39",33.60,20.90
26099998,1668047079,"2022/11/10 2:24:39",33.50,20.90
26399998,1668047379,"2022/11/10 2:29:39",32.90,21.10
26699999,1668047679,"2022/11/10 2:34:39",32.90,20.90
27000000,1668047979,"2022/11/10 2:39:39",32.60,21.00
27299998,1668048278,"2022/11/10 2:44:38",32.30,21.00
27599998,1668048578,"2022/11/10 2:49:38",32.30,20.90
27899999,1668048878,"2022/11/10 2:54:38",32.50,20.70
28200000,1668049178,"2022/11/10 2:59:38",32.30,20.70
28499999,1668049478,"2022/11/10 3:4:38",32.30,20.70
28799998,1668049778,"2022/11/10 3:9:38",31.80,20.80
29099999,1668050077,"2022/11/10 3:14:37",31.70,20.80
29399999,1668050377,"2022/11/10 3:19:37",31.60,20.70
29699998,1668050677,"2022/11/10 3:24:37",31.40,20.80
29999998,1668050977,"2022/11/10 3:29:37",32.10,20.80
30300000,1668051276,"2022/11/10 3:34:36",32.00,20.80
30599999,1668051576,"2022/11/10 3:39:36",31.90,20.80
30899999,1668051876,"2022/11/10 3:44:36",31.70,20.80
31199998,1668052176,"2022/11/10 3:49:36",32.90,20.30
31500000,1668052476,"2022/11/10 3:54:36",33.00,20.30
31800000,1668052776,"2022/11/10 3:59:36",32.90,20.30
32099999,1668053075,"2022/11/10 4:4:35",32.70,20.40
32400000,1668053375,"2022/11/10 4:9:35",32.70,20.30
32700000,1668053675,"2022/11/10 4:14:35",32.50,20.20
33000000,1668053975,"2022/11/10 4:19:35",32.70,20.20
33299999,1668054275,"2022/11/10 4:24:35",32.80,20.00
33600000,1668054574,"2022/11/10 4:29:34",32.70,20.20
33899999,1668054874,"2022/11/10 4:34:34",32.40,20.20
34199999,1668055174,"2022/11/10 4:39:34",32.50,20.10
34499998,1668055474,"2022/11/10 4:44:34",32.70,20.10
34800000,1668055774,"2022/11/10 4:49:34",32.40,20.10
35099999,1668056073,"2022/11/10 4:54:33",32.60,20.10
35399998,1668056373,"2022/11/10 4:59:33",32.70,20.00
35699999,1668056673,"2022/11/10 5:4:33",32.60,19.90
36000000,1668056973,"2022/11/10 5:9:33",32.70,19.90
36300000,1668057273,"2022/11/10 5:14:33",32.70,19.90
36599998,1668057572,"2022/11/10 5:19:32",32.90,19.90
36899999,1668057872,"2022/11/10 5:24:32",32.80,19.90
37200000,1668058172,"2022/11/10 5:29:32",32.80,19.90
37499999,1668058472,"2022/11/10 5:34:32",32.80,19.90
37799999,1668058772,"2022/11/10 5:39:32",32.60,19.90
38099999,1668059071,"2022/11/10 5:44:31",32.60,19.90
38400000,1668059371,"2022/11/10 5:49:31",32.80,19.80
38699999,1668059671,"2022/11/10 5:54:31",32.60,19.80
38999999,1668059971,"2022/11/10 5:59:31",32.70,19.80
39299999,1668060271,"2022/11/10 6:4:31",32.80,19.80
39600000,1668060570,"2022/11/10 6:9:30",32.70,19.90
39900000,1668060870,"2022/11/10 6:14:30",32.70,19.80
40199999,1668061170,"2022/11/10 6:19:30",32.70,19.80
40499999,1668061470,"2022/11/10 6:24:30",32.70,19.80
40799998,1668061770,"2022/11/10 6:29:30",32.90,19.70
41099999,1668062069,"2022/11/10 6:34:29",32.90,19.60
41399999,1668062369,"2022/11/10 6:39:29",32.90,19.60
41699998,1668062669,"2022/11/10 6:44:29",33.10,19.60
42000000,1668062969,"2022/11/10 6:49:29",33.10,19.50
42300000,1668063268,"2022/11/10 6:54:28",33.30,19.50
42599999,1668063568,"2022/11/10 6:59:28",33.30,19.70
42899999,1668063868,"2022/11/10 7:4:28",33.40,19.60
43199998,1668064168,"2022/11/10 7:9:28",33.50,19.60
43500000,1668064468,"2022/11/10 7:14:28",33.70,19.70
43800000,1668064767,"2022/11/10 7:19:27",33.90,19.70
44099999,1668065067,"2022/11/10 7:24:27",34.20,19.80
44400000,1668065367,"2022/11/10 7:29:27",34.10,19.90
44700000,1668065667,"2022/11/10 7:34:27",34.10,19.80
44999999,1668065967,"2022/11/10 7:39:27",34.20,19.80
45300000,1668066266,"2022/11/10 7:44:26",34.40,19.80
45600000,1668066566,"2022/11/10 7:49:26",34.10,19.90
45900000,1668066866,"2022/11/10 7:54:26",34.00,19.90
46199998,1668067166,"2022/11/10 7:59:26",33.90,20.00
46499999,1668067466,"2022/11/10 8:4:26",34.00,20.00
46799998,1668067765,"2022/11/10 8:9:25",33.80,20.00
47100000,1668068065,"2022/11/10 8:14:25",33.90,20.00
47399999,1668068365,"2022/11/10 8:19:25",33.80,20.10
47700000,1668068665,"2022/11/10 8:24:25",34.00,20.00
47999998,1668068965,"2022/11/10 8:29:25",34.00,20.10
48300000,1668069265,"2022/11/10 8:34:25",34.00,20.10
48600000,1668069564,"2022/11/10 8:39:24",34.00,20.20
48899999,1668069864,"2022/11/10 8:44:24",34.20,20.10
49199998,1668070164,"2022/11/10 8:49:24",34.10,20.10
49499999,1668070464,"2022/11/10 8:54:24",33.90,20.20
49800000,1668070764,"2022/11/10 8:59:24",33.80,20.20
