millis,stamp,datetime,humidity,temp
299999,1668957622,"2022/11/20 15:20:22",28.00,22.90
600000,1668957922,"2022/11/20 15:25:22",27.00,22.60
899998,1668958222,"2022/11/20 15:30:22",26.60,22.90
1200000,1668958522,"2022/11/20 15:35:22",26.60,22.90
1499999,1668958821,"2022/11/20 15:40:21",26.60,22.90
1799999,1668959121,"2022/11/20 15:45:21",26.80,22.90
2099999,1668959421,"2022/11/20 15:50:21",26.40,23.00
2400000,1668959721,"2022/11/20 15:55:21",26.30,23.00
2700000,1668960021,"2022/11/20 16:0:21",26.10,23.20
2999999,1668960320,"2022/11/20 16:5:20",26.00,23.20
3299999,1668960620,"2022/11/20 16:10:20",26.10,23.10
3599998,1668960920,"2022/11/20 16:15:20",26.10,23.10
3899999,1668961220,"2022/11/20 16:20:20",26.00,23.20
4200000,1668961520,"2022/11/20 16:25:20",26.10,23.10
4499998,1668961819,"2022/11/20 16:30:19",26.00,23.20
4799998,1668962119,"2022/11/20 16:35:19",25.90,23.20
5099999,1668962419,"2022/11/20 16:40:19",26.10,23.30
5400000,1668962719,"2022/11/20 16:45:19",26.00,23.30
5699999,1668963019,"2022/11/20 16:50:19",25.80,23.20
5999998,1668963319,"2022/11/20 16:55:19",26.20,23.20
6299999,1668963618,"2022/11/20 17:0:18",26.00,23.20
6600000,1668963918,"2022/11/20 17:5:18",25.90,23.30
6899998,1668964218,"2022/11/20 17:10:18",25.90,23.50
7199998,1668964518,"2022/11/20 17:15:18",25.90,23.30
7499999,1668964818,"2022/11/20 17:20:18",24.50,22.90
7800000,1668965117,"2022/11/20 17:25:17",24.40,22.50
8099998,1668965417,"2022/11/20 17:30:17",24.40,22.10
8399998,1668965717,"2022/11/20 17:35:17",25.40,22.40
8700000,1668966017,"2022/11/20 17:40:17",25.90,22.70
8999999,1668966317,"2022/11/20 17:45:17",25.60,23.00
9299999,1668966616,"2022/11/20 17:50:16",25.90,22.90
9600000,1668966916,"2022/11/20 17:55:16",26.60,22.80
9899999,1668967216,"2022/11/20 18:0:16",26.60,22.80
10199999,1668967516,"2022/11/20 18:5:16",27.00,22.70
10499999,1668967816,"2022/11/20 18:10:16",27.60,22.60
10799998,1668968115,"2022/11/20 18:15:15",27.10,22.60
11100000,1668968415,"2022/11/20 18:20:15",27.10,22.50
11400000,1668968715,"2022/11/20 18:25:15",27.00,22.50
11699998,1668969015,"2022/11/20 18:30:15",27.20,22.40
11999998,1668969315,"2022/11/20 18:35:15",27.20,22.50
12300000,1668969615,"2022/11/20 18:40:15",27.30,22.50
12600000,1668969914,"2022/11/20 18:45:14",27.30,22.40
12900000,1668970214,"2022/11/20 18:50:14",27.30,22.50
13199998,1668970514,"2022/11/20 18:55:14",27.10,22.70
13500000,1668970814,"2022/11/20 19:0:14",27.00,22.70
13799999,1668971114,"2022/11/20 19:5:14",26.90,23.00
14100000,1668971413,"2022/11/20 19:10:13",26.80,22.90
14400000,1668971713,"2022/11/20 19:15:13",26.30,23.20
14700000,1668972013,"2022/11/20 19:20:13",26.30,23.30
15000000,1668972313,"2022/11/20 19:25:13",26.00,23.40
15299998,1668972613,"2022/11/20 19:30:13",25.90,23.60
15599998,1668972912,"2022/11/20 19:35:12",26.30,23.50
15899999,1668973212,"2022/11/20 19:40:12",26.30,23.40
16199999,1668973512,"2022/11/20 19:45:12",26.20,23.30
16500000,1668973812,"2022/11/20 19:50:12",26.10,23.30
16799998,1668974112,"2022/11/20 19:55:12",26.20,23.30
17099999,1668974411,"2022/11/20 20:0:11",25.90,23.50
17399999,1668974711,"2022/11/20 20:5:11",25.90,23.50
17699999,1668975011,"2022/11/20 20:10:11",26.20,23.30
17999998,1668975311,"2022/11/20 20:15:11",26.40,23.20
18299999,1668975611,"2022/11/20 20:20:11",26.20,23.20
18600000,1668975911,"2022/11/20 20:25:11",26.20,23.20
18899998,1668976210,"2022/11/20 20:30:10",26.20,23.30
